date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:49:58	144882/144882	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-235f2%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/widgets-charts.html	C:/My%20Web%20Sites/Mordenize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/widgets-charts.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
12:49:59	153464/153464	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-25778%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/widgets-feeds.html	C:/My%20Web%20Sites/Mordenize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/widgets-feeds.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
12:49:59	227870/227870	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-37a1e%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/widgets-apps.html	C:/My%20Web%20Sites/Mordenize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/widgets-apps.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
12:50:00	213465/213465	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-341d9%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/widgets-data.html	C:/My%20Web%20Sites/Mordenize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/widgets-data.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
12:50:00	148783/148783	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-2452f%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/ui-accordian.html	C:/My%20Web%20Sites/Mordenize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/ui-accordian.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
12:50:00	142514/142514	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-22cb2%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/ui-badge.html	C:/My%20Web%20Sites/Mordenize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/ui-badge.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
12:50:01	219070/219070	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-357be%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/ui-buttons.html	C:/My%20Web%20Sites/Mordenize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/ui-buttons.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
12:50:01	249248/249248	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-3cda0%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/ui-dropdowns.html	C:/My%20Web%20Sites/Mordenize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/ui-dropdowns.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
12:50:02	295891/295891	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-483d3%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/ui-modals.html	C:/My%20Web%20Sites/Mordenize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/ui-modals.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
12:50:02	181621/181621	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-2c575%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/ui-tab.html	C:/My%20Web%20Sites/Mordenize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/ui-tab.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
12:50:02	138606/138606	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-21d6e%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/ui-tooltip-popover.html	C:/My%20Web%20Sites/Mordenize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/ui-tooltip-popover.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
12:50:02	175452/175452	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-2ad5c%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/ui-notification.html	C:/My%20Web%20Sites/Mordenize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/ui-notification.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
12:50:03	144042/144042	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-232aa%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/ui-progressbar.html	C:/My%20Web%20Sites/Mordenize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/ui-progressbar.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
12:50:03	143448/143448	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-23058%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/ui-pagination.html	C:/My%20Web%20Sites/Mordenize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/ui-pagination.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
12:50:04	163327/163327	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-27dff%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/ui-typography.html	C:/My%20Web%20Sites/Mordenize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/ui-typography.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
12:50:04	133202/133202	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-20852%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/ui-bootstrap-ui.html	C:/My%20Web%20Sites/Mordenize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/ui-bootstrap-ui.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
